,title,published_date,views,likes,dislikes,comments,month
0,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,10711,539,0,141,Jan
1,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,56203,3302,0,210,Dec
2,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,4681,227,0,58,Dec
3,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,2888,200,0,15,Dec
4,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,16282,814,0,140,Dec
5,Why Is Data Engineering So HOT Right Now?,2021-11-26,16483,732,0,142,Nov
6,Is Data Science Dying?,2021-11-19,68091,2260,0,272,Nov
7,7 Incredible Books That Transformed My Health and My Life,2021-11-12,6039,336,0,115,Nov
8,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3046,181,0,54,Nov
9,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,5645,184,0,34,Oct
10,ML Ops: What is it REALLY?,2021-10-22,4091,200,0,62,Oct
11,Business Skills for Data Science: What are they REALLY?,2021-10-18,4105,214,0,57,Oct
12,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2021,123,0,5,Oct
13,The TRUTH About My First Data Science Project,2021-10-08,3857,221,0,66,Oct
14,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,10268,469,0,115,Aug
15,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,5707,214,0,36,Aug
16,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,12805,438,0,29,Aug
17,How I Learned to Learn.,2021-07-31,21748,1367,0,158,Jul
18,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,6299,371,0,42,Jul
19,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2266,92,0,30,Jul
20,Why are APIs Important for Data Science?,2021-07-09,6451,344,0,95,Jul
21,Is Your Phone REALLY Listening to You?,2021-07-03,4538,267,0,120,Jul
22,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,8622,409,0,129,Jun
23,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3383,181,0,40,Jun
24,#66DaysOfData - What is it? #shorts,2021-06-11,5958,291,0,54,Jun
25,A Quick Data Science Project Tip! #SHORTS,2021-06-03,12135,692,0,86,Jun
26,Discouraged with Data Science? - Watch THIS video.,2021-05-28,6791,369,0,206,May
27,How Data Science Projects Pay Off,2021-05-22,9281,556,0,156,May
28,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9020,436,0,138,May
29,What is a lambda function (python)? #shorts,2021-05-13,8185,529,0,49,May
30,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,14581,611,0,56,May
31,What is Pandas? (Data & Data Science) #shorts,2021-04-30,12748,469,0,94,Apr
32,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,47288,2187,0,260,Apr
33,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,20023,565,0,94,Apr
34,Why You Probably Won't Become a Data Scientist,2021-04-09,107060,3146,0,479,Apr
35,How to Go From Data Analyst to Data Scientist,2021-04-02,39710,1123,0,165,Apr
36,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3520,133,0,91,Mar
37,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,8926,245,0,105,Mar
38,My Regrets as a Data Science Student,2021-03-12,20022,724,0,114,Mar
39,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3602,191,0,90,Mar
40,What is the Future of my Comment Leaderboard Project?,2021-02-26,4867,192,0,86,Feb
41,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,5453,156,0,52,Feb
42,Why I Quit Data Science,2021-02-12,98467,2227,0,358,Feb
43,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,7912,376,0,115,Jan
44,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6766,289,0,127,Jan
45,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,6750,247,0,46,Jan
46,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,14538,556,0,132,Jan
47,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,25439,940,0,151,Jan
48,What is the #66DaysOfData?,2020-12-26,51823,1784,0,208,Dec
49,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,123143,5780,0,514,Dec
50,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,9195,367,0,136,Dec
51,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,20900,671,0,319,Dec
52,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,17997,612,0,151,Nov
53,6 Lessons from #66DaysOfData,2020-11-13,6335,333,0,97,Nov
54,100K Channel Update + AMA Stream!,2020-11-12,2289,128,0,24,Nov
55,Find a Data Science Project With These 3 Techniques,2020-11-06,13867,588,0,103,Nov
56,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,18418,521,0,154,Oct
57,git for Data Science Made Simple... (Hopefully),2020-10-23,12355,619,0,91,Oct
58,The PODCAST you might have asked for?,2020-10-19,1824,93,0,45,Oct
59,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6263,434,0,118,Oct
60,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,9363,313,0,47,Oct
61,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,4954,114,0,62,Oct
62,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,7285,455,0,84,Oct
63,Sh*t Data Scientists Say (Parody),2020-10-05,8714,567,0,142,Oct
64,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8149,354,0,95,Oct
65,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6678,279,0,61,Sep
66,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,8941,252,0,69,Sep
67,5 Essential Data Science Projects for Your Portfolio,2020-09-26,50203,2404,0,204,Sep
68,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4553,185,0,66,Sep
69,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,8650,365,0,56,Sep
70,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,6842,244,0,34,Sep
71,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4875,188,0,56,Sep
72,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3663,149,0,37,Sep
73,The 5 Pillars of Success I Live By,2020-09-11,9724,863,0,155,Sep
74,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1823,75,0,25,Sep
75,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3606,158,0,43,Sep
76,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,10546,683,0,147,Sep
77,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,15665,510,0,86,Sep
78,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,14277,693,0,93,Aug
79,Why I'm Starting Data Science Over Again.,2020-08-29,49498,2578,0,459,Aug
80,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,13091,554,0,78,Aug
81,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,9296,370,0,52,Aug
82,Don't Buy My Course..,2020-08-21,7192,355,0,148,Aug
83,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,24932,1001,0,164,Aug
84,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,2991,128,0,40,Aug
85,The YouTube Algorithm EXPLAINED! (Tips from a Data Scientist),2020-08-14,5660,518,0,112,Aug
86,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4398,174,0,39,Aug
87,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,7603,263,0,48,Aug
88,The Plagiarism Problem in Data Science,2020-08-07,12663,619,0,150,Aug
89,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13386,580,0,91,Aug
90,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4460,181,0,57,Aug
91,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,8530,484,0,89,Jul
92,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2184,114,0,34,Jul
93,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5097,244,0,112,Jul
94,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,7858,242,0,205,Jul
95,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1795,96,0,29,Jul
96,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,20702,454,0,86,Jul
97,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,164390,4215,0,350,Jul
98,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,20732,846,0,116,Jul
99,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3347,130,0,50,Jul
100,The Best Computer for Data Science Beginners,2020-07-10,27274,679,0,151,Jul
101,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5787,220,0,88,Jul
102,Critiquing MY OWN Data Science Resume,2020-07-06,10785,362,0,91,Jul
103,Where to Start Learning Data Science,2020-07-03,16820,711,0,135,Jul
104,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3705,189,0,37,Jul
105,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4217,171,0,54,Jun
106,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,11765,439,0,79,Jun
107,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2239,82,0,40,Jun
108,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2326,136,0,51,Jun
109,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4041,161,0,46,Jun
110,Why You're Struggling to Learn Data Science,2020-06-12,14530,979,0,163,Jun
111,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,8719,289,0,69,Jun
112,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20031,627,0,151,Jun
113,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5503,153,0,53,Jun
114,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,44245,1543,0,245,May
115,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20644,484,0,84,May
116,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,44484,1521,0,175,May
117,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,10741,171,0,55,May
118,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,67658,2704,0,181,May
119,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3064,146,0,115,May
120,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4016,148,0,74,May
121,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1246050,44952,0,1942,May
122,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,4559,175,0,42,May
123,What You Need to Know for a Data Science Internship,2020-05-01,11916,778,0,53,May
124,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7442,332,0,59,Apr
125,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14297,448,0,107,Apr
126,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2785,79,0,26,Apr
127,5 Tips for Crushing the Work From Home Life,2020-04-20,4916,194,0,40,Apr
128,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,12235,532,0,116,Apr
129,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,18088,538,0,94,Apr
130,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,27304,630,0,131,Apr
131,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,46554,1385,0,195,Apr
132,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,49563,1281,0,255,Apr
133,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,70090,2353,0,554,Apr
134,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,101238,3151,0,156,Apr
135,When Data Science Goes Wrong,2020-03-30,1663,102,0,34,Mar
136,How to ULTRALEARN Data Science,2020-03-27,55088,3479,0,169,Mar
137,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4016,259,0,51,Mar
138,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,9683,376,0,45,Mar
139,The Secret Data Scientists Don't Want You to Know,2020-03-16,9457,1057,0,109,Mar
140,The 5 Stages of Learning Data Science,2020-03-13,15333,1187,0,81,Mar
141,Can You Learn Data Science Without a Computer?,2020-03-11,1100,86,0,14,Mar
142,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,295219,18760,0,611,Mar
143,The Data Science Projects that Got Me a Job,2020-03-06,33109,1187,0,45,Mar
144,How to Integrate Data Science into Your Business,2020-03-02,1750,79,0,15,Mar
145,The Problem with Data Science,2020-02-28,3277,137,0,22,Feb
146,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,956,41,0,16,Feb
147,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,73881,1589,0,81,Feb
148,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,233980,14104,0,488,Feb
149,Data Science Advice for College Students,2020-02-14,61795,1772,0,188,Feb
150,Avoid These Data Science Resume Mistakes!,2020-02-10,22616,1030,0,59,Feb
151,Data Science Explained with ... Cooking?,2020-02-07,3902,256,0,47,Feb
152,The 4 Types of Sports Analytics Projects,2020-02-03,17747,625,0,53,Feb
153,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,478,18,0,13,Jan
154,How I Learned Data Science,2020-01-27,86952,2481,0,211,Jan
155,What is Sports Analytics Really?,2020-01-20,13146,417,0,70,Jan
156,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,91615,2668,0,551,Jan
157,How To Learn Programming for Data Science [3 Steps],2020-01-13,25434,1777,0,93,Jan
158,Data Science Fundamentals: SQL Queries,2020-01-10,4733,167,0,32,Jan
159,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2106,118,0,14,Jan
160,The 9 Books That Changed My Perspective in 2019,2020-01-03,3027,172,0,24,Jan
161,The Data Science Interview: What to Expect,2019-12-30,6125,316,0,37,Dec
162,5 Data Science Resolutions for 2020,2019-12-27,455,24,0,12,Dec
163,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,11560,424,0,89,Dec
164,Collision Course: Sports Betting + Data Science,2019-12-20,10111,338,0,25,Dec
165,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,92999,2751,0,212,Dec
166,5 Sports Analytics Books to Get You Started,2019-12-13,7327,270,0,55,Dec
167,Math Needed for Mastering Data Science,2019-12-09,47925,2490,0,211,Dec
168,The 5 Stages of Data Science Adoption,2019-12-06,955,54,0,17,Dec
169,How YOU Can Land a Sports Analytics Job,2019-12-02,49885,2299,0,210,Dec
170,Data Science Fundamentals: Linear Regression,2019-11-29,4800,140,0,41,Nov
171,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,811,41,0,12,Nov
172,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,4294,213,0,27,Nov
173,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,39093,1550,0,79,Nov
174,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5631,128,0,34,Nov
